batting_team,bowling_team,venue,current_score,is_powerplay,balls_left,wickets_left,current_run_rate,Top_Order,Middle_Order,Lower_Order,Tail,last_five,Death_Overs,final_score
England,South Africa,Cardiff,166,0,16,7,9.57692307692308,0,1,0,0,48,1,181
South Africa,Sri Lanka,Colombo,115,0,0,4,5.75,0,0,0,1,40,1,115
West Indies,South Africa,Johannesburg,78,0,72,10,9.75,1,0,0,0,49,0,205
Pakistan,Australia,Dubai,123,0,15,6,7.02857142857143,0,0,1,0,34,1,147
Bangladesh,Pakistan,Lahore,128,0,8,6,6.85714285714286,0,0,1,0,33,1,141
Pakistan,Australia,Birmingham,85,0,52,7,7.5,0,1,0,0,29,0,162
South Africa,Australia,Cape Town,39,0,80,8,5.85,0,1,0,0,35,0,146
Australia,South Africa,Johannesburg,159,0,2,3,8.08474576271187,0,0,0,1,56,1,166
India,Bangladesh,Mirpur,126,0,21,6,7.63636363636364,0,0,1,0,53,1,166
Bangladesh,India,Colombo,68,0,59,6,6.68852459016394,0,0,1,0,33,0,166
Sri Lanka,South Africa,Cape Town,46,0,79,7,6.73170731707317,0,1,0,0,39,0,134
Afghanistan,West Indies,Lucknow,77,0,56,6,7.21875,0,0,1,0,29,0,147
Sri Lanka,South Africa,Delhi,86,0,39,4,6.37037037037037,0,0,0,1,17,0,120
West Indies,India,Lauderhill,83,0,55,6,7.66153846153846,0,0,1,0,29,0,143
Sri Lanka,Pakistan,Lahore,84,0,63,10,8.8421052631579,1,0,0,0,37,0,165
Sri Lanka,New Zealand,Nottingham,107,0,32,7,7.29545454545455,0,1,0,0,27,0,158
Sri Lanka,England,Southampton,95,0,53,6,8.50746268656716,0,0,1,0,29,0,163
Sri Lanka,South Africa,Delhi,63,0,71,8,7.71428571428571,0,1,0,0,32,0,120
South Africa,England,Chittagong,122,0,27,7,7.87096774193548,0,1,0,0,32,1,196
South Africa,Australia,Colombo,49,0,72,7,6.125,0,1,0,0,33,0,146
Sri Lanka,Bangladesh,Colombo,35,1,82,6,5.52631578947368,0,0,1,0,29,0,159
India,Bangladesh,Bangalore,48,0,75,8,6.4,0,1,0,0,33,0,146
West Indies,England,Pallekele,93,0,62,10,9.62068965517241,1,0,0,0,53,0,179
South Africa,Australia,Johannesburg,145,0,27,6,9.35483870967742,0,0,1,0,48,1,204
New Zealand,Bangladesh,Mount Maunganui,150,0,33,7,10.3448275862069,0,1,0,0,73,0,195
Australia,England,Barbados,66,0,45,6,5.28,0,0,1,0,29,0,147
England,New Zealand,Manchester,80,0,65,7,8.72727272727273,0,1,0,0,48,0,191
New Zealand,Bangladesh,Mount Maunganui,172,0,17,5,10.0194174757282,0,0,1,0,59,1,195
Australia,England,Melbourne,82,0,47,5,6.73972602739726,0,0,1,0,19,0,147
Pakistan,England,Dubai,62,0,75,9,8.26666666666667,1,0,0,0,34,0,144
Sri Lanka,Pakistan,Dubai,178,0,13,8,9.98130841121495,0,1,0,0,51,1,211
Pakistan,South Africa,Cape Town,152,0,18,7,8.94117647058824,0,1,0,0,60,1,176
Australia,New Zealand,Sydney,76,0,53,7,6.80597014925373,0,1,0,0,28,0,150
New Zealand,Australia,Auckland,229,0,2,4,11.6440677966102,0,0,0,1,32,1,243
New Zealand,Pakistan,Barbados,62,0,58,6,6,0,0,1,0,22,0,133
Sri Lanka,India,Nagpur,89,0,60,9,8.9,1,0,0,0,50,0,215
Sri Lanka,West Indies,Pallekele,126,0,37,8,9.10843373493976,0,1,0,0,42,0,215
New Zealand,West Indies,Mount Maunganui,165,0,38,9,12.0731707317073,1,0,0,0,67,0,243
England,New Zealand,Auckland,110,0,59,7,10.8196721311475,0,1,0,0,69,0,214
Australia,South Africa,Johannesburg,100,0,58,8,9.67741935483871,0,1,0,0,29,0,196
New Zealand,Sri Lanka,Auckland,143,0,15,3,8.17142857142857,0,0,0,1,52,1,179
New Zealand,Australia,Christchurch,189,0,10,4,10.3090909090909,0,0,0,1,72,1,214
South Africa,Afghanistan,Mumbai,108,0,43,7,8.41558441558442,0,1,0,0,32,0,209
West Indies,India,Lauderhill,74,0,20,3,4.44,0,0,0,1,21,1,95
India,England,Mumbai,87,0,59,7,8.55737704918033,0,1,0,0,37,0,177
Pakistan,New Zealand,Abu Dhabi,60,0,61,8,6.10169491525424,0,1,0,0,37,0,148
England,West Indies,Barbados,152,0,1,4,7.66386554621849,0,0,0,1,44,1,152
West Indies,Pakistan,Trinidad,52,0,74,9,6.78260869565217,1,0,0,0,25,0,124
West Indies,Bangladesh,Mirpur,72,0,51,8,6.26086956521739,0,1,0,0,23,0,132
South Africa,New Zealand,Chittagong,108,0,26,6,6.8936170212766,0,0,1,0,41,1,170
New Zealand,England,Wellington,107,0,21,5,6.48484848484848,0,0,1,0,31,1,139
Bangladesh,Pakistan,Lahore,141,0,0,5,7.05,0,0,1,0,40,1,141
Sri Lanka,West Indies,Mirpur,138,0,10,5,7.52727272727273,0,0,1,0,47,1,160
Australia,Pakistan,Melbourne,75,0,59,7,7.37704918032787,0,1,0,0,31,0,127
South Africa,Australia,Centurion,136,0,10,5,7.41818181818182,0,0,1,0,52,1,156
England,West Indies,Barbados,100,0,40,7,7.5,0,1,0,0,56,0,152
Pakistan,Australia,Harare,141,0,24,6,8.8125,0,0,1,0,46,1,194
New Zealand,England,Pallekele,74,0,43,6,5.76623376623377,0,0,1,0,28,0,148
South Africa,India,Mirpur,146,0,12,6,8.11111111111111,0,0,1,0,39,1,172
Australia,Sri Lanka,Nottingham,93,0,33,5,6.41379310344828,0,0,1,0,23,0,159
India,South Africa,Durban,37,0,77,7,5.16279069767442,0,1,0,0,23,0,153
England,India,London,98,0,31,7,6.60674157303371,0,1,0,0,27,0,153
South Africa,England,Mumbai,151,0,37,7,10.9156626506024,0,1,0,0,37,0,229
Sri Lanka,Pakistan,Lahore,60,0,76,8,8.18181818181818,0,1,0,0,44,0,182
South Africa,Sri Lanka,Colombo,40,0,70,7,4.8,0,1,0,0,28,0,115
New Zealand,Australia,Auckland,69,0,77,8,9.62790697674419,0,1,0,0,42,0,150
England,Australia,Birmingham,149,0,40,7,11.175,0,1,0,0,56,0,221
Bangladesh,West Indies,St Kitts,51,0,74,6,6.65217391304348,0,0,1,0,39,0,118
West Indies,South Africa,Johannesburg,96,0,63,10,10.1052631578947,1,0,0,0,51,0,205
India,Australia,Adelaide,114,0,40,8,8.55,0,1,0,0,41,0,188
West Indies,England,Pallekele,53,0,77,10,7.3953488372093,1,0,0,0,33,0,179
Pakistan,Bangladesh,Mirpur,78,0,57,7,7.42857142857143,0,1,0,0,31,0,190
West Indies,England,London,51,0,51,7,4.43478260869565,0,1,0,0,24,0,113
South Africa,Sri Lanka,Colombo,60,0,68,6,6.92307692307692,0,0,1,0,30,0,98
Australia,South Africa,Brisbane,128,0,41,8,9.72151898734177,0,1,0,0,59,0,209
Australia,Sri Lanka,Melbourne,49,0,81,10,7.53846153846154,1,0,0,0,42,0,168
West Indies,New Zealand,Pallekele,51,1,88,8,9.5625,0,1,0,0,46,0,139
New Zealand,India,Hamilton,118,0,48,9,9.83333333333333,1,0,0,0,39,0,212
South Africa,New Zealand,Auckland,55,0,82,8,8.68421052631579,0,1,0,0,45,0,165
Pakistan,England,Barbados,132,0,5,1,6.88695652173913,0,0,0,1,30,1,147
India,Australia,Melbourne,109,0,42,9,8.38461538461539,1,0,0,0,32,0,184
Afghanistan,West Indies,St Kitts,65,0,51,7,5.65217391304348,0,1,0,0,15,0,146
New Zealand,India,Hamilton,84,0,71,9,10.2857142857143,1,0,0,0,62,0,212
West Indies,Australia,Colombo,89,0,52,8,7.85294117647059,0,1,0,0,37,0,205
Pakistan,New Zealand,Wellington,31,0,78,6,4.42857142857143,0,0,1,0,27,0,105
New Zealand,Bangladesh,Pallekele,43,0,81,9,6.61538461538462,1,0,0,0,29,0,191
England,Sri Lanka,Bristol,32,1,88,8,6,0,1,0,0,31,0,136
Bangladesh,West Indies,St Kitts,105,0,50,5,9,0,0,1,0,43,0,143
Afghanistan,Sri Lanka,Kolkata,77,0,39,6,5.7037037037037,0,0,1,0,32,0,153
Afghanistan,West Indies,Lucknow,66,0,64,7,7.07142857142857,0,1,0,0,24,0,147
England,Australia,Southampton,110,0,39,5,8.14814814814815,0,0,1,0,39,0,179
India,West Indies,London,98,0,28,6,6.39130434782609,0,0,1,0,40,1,153
Pakistan,Australia,St Lucia,189,0,1,5,9.52941176470588,0,0,1,0,70,1,191
South Africa,India,Nottingham,104,0,19,7,6.17821782178218,0,1,0,0,29,1,130
India,New Zealand,Hamilton,151,0,11,6,8.31192660550459,0,0,1,0,41,1,179
India,England,Bangalore,98,0,49,8,8.28169014084507,0,1,0,0,35,0,202
England,South Africa,Barbados,114,0,37,7,8.24096385542169,0,1,0,0,39,0,168
Australia,Pakistan,Chandigarh,120,0,37,6,8.67469879518072,0,0,1,0,50,0,193
Pakistan,Australia,Dubai,45,1,84,9,7.5,1,0,0,0,39,0,147
New Zealand,India,Johannesburg,85,0,56,8,7.96875,0,1,0,0,38,0,190
Australia,Sri Lanka,Pallekele,76,0,80,9,11.4,1,0,0,0,66,0,263
West Indies,Bangladesh,Mirpur,43,1,84,8,7.16666666666667,0,1,0,0,33,0,197
Pakistan,New Zealand,Auckland,95,0,59,9,9.34426229508197,1,0,0,0,51,0,201
South Africa,Sri Lanka,Colombo,48,1,85,7,8.22857142857143,0,1,0,0,35,0,98
New Zealand,Pakistan,Wellington,129,0,31,6,8.69662921348315,0,0,1,0,40,0,196
Sri Lanka,Bangladesh,Johannesburg,77,0,48,7,6.41666666666667,0,1,0,0,30,0,147
South Africa,England,Chittagong,149,0,16,7,8.59615384615385,0,1,0,0,50,1,196
England,West Indies,Trinidad,107,0,27,4,6.90322580645161,0,0,0,1,25,1,121
New Zealand,Australia,Auckland,216,0,16,7,12.4615384615385,0,1,0,0,61,1,243
South Africa,England,Cape Town,107,0,30,7,7.13333333333333,0,1,0,0,41,0,191
New Zealand,Bangladesh,Pallekele,122,0,32,8,8.31818181818182,0,1,0,0,52,0,191
Sri Lanka,Pakistan,Lahore,75,0,55,6,6.92307692307692,0,0,1,0,31,0,147
Sri Lanka,South Africa,Cape Town,108,0,20,5,6.48,0,0,1,0,31,1,134
Australia,England,Manchester,113,0,21,7,6.84848484848485,0,1,0,0,42,1,145
New Zealand,South Africa,Durban,74,0,68,9,8.53846153846154,1,0,0,0,48,0,151
New Zealand,England,Wellington,57,0,82,9,9,1,0,0,0,46,0,176
Pakistan,Bangladesh,Mirpur,155,0,13,6,8.69158878504673,0,0,1,0,43,1,190
Sri Lanka,England,Southampton,154,0,9,3,8.32432432432432,0,0,0,1,37,1,163
Bangladesh,West Indies,St Kitts,61,0,77,6,8.51162790697674,0,0,1,0,53,0,143
New Zealand,Pakistan,Cape Town,117,0,16,3,6.75,0,0,0,1,36,1,143
South Africa,New Zealand,Auckland,67,0,69,7,7.88235294117647,0,1,0,0,37,0,165
New Zealand,Pakistan,Wellington,163,0,17,6,9.49514563106796,0,0,1,0,52,1,196
Pakistan,Australia,Birmingham,61,0,77,8,8.51162790697674,0,1,0,0,53,0,162
India,Bangladesh,Colombo,70,0,61,9,7.11864406779661,1,0,0,0,32,0,176
India,Australia,Melbourne,57,0,39,4,4.22222222222222,0,0,0,1,18,0,74
England,New Zealand,Auckland,73,0,76,7,9.95454545454546,0,1,0,0,49,0,184
West Indies,New Zealand,Lauderhill,77,0,56,9,7.21875,1,0,0,0,34,0,209
South Africa,Pakistan,Johannesburg,82,0,61,8,8.33898305084746,0,1,0,0,29,0,153
Sri Lanka,Australia,Colombo,111,0,16,3,6.40384615384615,0,0,0,1,35,1,128
India,South Africa,Centurion,47,0,82,7,7.42105263157895,0,1,0,0,47,0,188
England,Pakistan,Manchester,108,0,47,8,8.87671232876712,0,1,0,0,62,0,131
West Indies,England,Pallekele,73,0,71,10,8.93877551020408,1,0,0,0,43,0,179
New Zealand,England,St Lucia,59,0,65,8,6.43636363636364,0,1,0,0,29,0,149
Australia,Pakistan,Johannesburg,85,0,60,7,8.5,0,1,0,0,43,0,164
Sri Lanka,England,Chittagong,97,0,43,9,7.55844155844156,1,0,0,0,40,0,189
South Africa,England,Chittagong,131,0,22,7,8.02040816326531,0,1,0,0,38,1,196
Australia,West Indies,Hobart,173,0,3,3,8.87179487179487,0,0,0,1,47,1,179
Pakistan,New Zealand,Auckland,187,0,9,7,10.1081081081081,0,1,0,0,55,1,201
India,New Zealand,Hamilton,145,0,16,6,8.36538461538462,0,0,1,0,44,1,179
Australia,Pakistan,Melbourne,78,0,51,5,6.78260869565217,0,0,1,0,24,0,127
Bangladesh,India,Colombo,107,0,27,6,6.90322580645161,0,0,1,0,35,0,139
Sri Lanka,Pakistan,Dubai,143,0,1,5,7.21008403361345,0,0,1,0,54,1,145
New Zealand,West Indies,Hamilton,142,0,41,7,10.7848101265823,0,1,0,0,54,0,191
Australia,Pakistan,Dubai,76,0,69,10,8.94117647058824,1,0,0,0,50,0,168
West Indies,New Zealand,Wellington,86,0,43,6,6.7012987012987,0,0,1,0,33,0,159
India,Sri Lanka,Pune,83,0,25,2,5.2421052631579,0,0,0,1,25,1,101
South Africa,Afghanistan,Mumbai,112,0,40,7,8.4,0,1,0,0,31,0,209
New Zealand,Pakistan,Dubai,138,0,8,5,7.39285714285714,0,0,1,0,50,1,153
England,Australia,Melbourne,105,0,16,6,6.05769230769231,0,0,1,0,33,1,137
Australia,England,Barbados,147,0,0,4,7.35,0,0,0,1,53,1,147
Pakistan,New Zealand,Dubai,82,0,52,8,7.23529411764706,0,1,0,0,31,0,153
England,Pakistan,Dubai,104,0,44,7,8.21052631578947,0,1,0,0,46,0,172
Sri Lanka,Pakistan,Lahore,143,0,20,7,8.58,0,1,0,0,44,1,165
New Zealand,England,Wellington,38,0,79,9,5.5609756097561,1,0,0,0,30,0,139
New Zealand,England,Delhi,153,0,1,3,7.71428571428571,0,0,0,1,36,1,153
Australia,Sri Lanka,Nottingham,87,0,34,5,6.06976744186047,0,0,1,0,17,0,159
Sri Lanka,Pakistan,London,82,0,64,9,8.78571428571429,1,0,0,0,32,0,150
England,Pakistan,Dubai,80,0,52,7,7.05882352941176,0,1,0,0,33,0,172
New Zealand,Sri Lanka,Pallekele,92,0,36,6,6.57142857142857,0,0,1,0,37,0,142
Australia,England,Hobart,158,0,28,7,10.304347826087,0,1,0,0,48,1,213
India,Sri Lanka,Pallekele,82,0,49,8,6.92957746478873,0,1,0,0,28,0,155
Australia,India,Sydney,60,0,83,9,9.72972972972973,1,0,0,0,46,0,194
New Zealand,India,Johannesburg,110,0,32,5,7.5,0,0,1,0,37,0,190
Pakistan,Australia,Birmingham,113,0,36,5,8.07142857142857,0,0,1,0,59,0,167
Australia,India,Sydney,89,0,43,7,6.93506493506494,0,1,0,0,24,0,164
South Africa,India,Johannesburg,57,0,82,9,9,1,0,0,0,35,0,219
Pakistan,New Zealand,Pallekele,131,0,29,7,8.63736263736264,0,1,0,0,35,0,177
England,Australia,Birmingham,131,0,52,8,11.5588235294118,0,1,0,0,58,0,221
South Africa,Australia,Brisbane,94,0,35,6,6.63529411764706,0,0,1,0,39,0,157
Afghanistan,India,St Lucia,110,0,4,3,5.68965517241379,0,0,0,1,30,1,115
South Africa,Bangladesh,Mirpur,54,0,82,10,8.52631578947369,1,0,0,0,36,0,169
Sri Lanka,India,Chandigarh,158,0,29,5,10.4175824175824,0,0,1,0,47,1,206
Australia,Sri Lanka,Melbourne,153,0,8,6,8.19642857142857,0,0,1,0,53,1,168
Australia,India,Rajkot,146,0,39,5,10.8148148148148,0,0,1,0,57,0,201
Pakistan,Australia,Birmingham,144,0,18,4,8.47058823529412,0,0,0,1,46,1,167
India,New Zealand,Wellington,55,0,78,7,7.85714285714286,0,1,0,0,41,0,149
New Zealand,England,St Lucia,44,0,78,9,6.28571428571429,1,0,0,0,31,0,149
India,Bangladesh,Mirpur,96,0,33,7,6.62068965517241,0,1,0,0,47,0,166
England,Pakistan,Dubai,96,0,35,6,6.77647058823529,0,0,1,0,33,0,160
Pakistan,South Africa,Cape Town,90,0,49,8,7.6056338028169,0,1,0,0,48,0,176
Bangladesh,Sri Lanka,Colombo,57,1,86,8,10.0588235294118,0,1,0,0,48,0,155
West Indies,England,London,88,0,65,9,9.6,1,0,0,0,38,0,208
South Africa,New Zealand,Auckland,146,0,25,6,9.22105263157895,0,0,1,0,44,1,185
South Africa,Australia,Brisbane,90,0,39,6,6.66666666666667,0,0,1,0,39,0,157
Bangladesh,West Indies,Lauderhill,71,1,85,8,12.1714285714286,0,1,0,0,65,0,184
Pakistan,Australia,Colombo,29,1,88,9,5.4375,1,0,0,0,25,0,149
New Zealand,Sri Lanka,Wellington,158,0,5,3,8.24347826086957,0,0,0,1,27,1,162
South Africa,West Indies,Cape Town,92,0,48,7,7.66666666666667,0,1,0,0,52,0,165
Sri Lanka,Australia,Melbourne,99,0,33,6,6.82758620689655,0,0,1,0,37,0,142
West Indies,Afghanistan,Lucknow,164,0,0,5,8.2,0,0,1,0,44,1,164
Bangladesh,India,Colombo,59,0,70,8,7.08,0,1,0,0,37,0,139
South Africa,England,Mumbai,88,0,81,10,13.5384615384615,1,0,0,0,76,0,229
South Africa,Australia,Centurion,91,0,37,7,6.57831325301205,0,1,0,0,27,0,156
Pakistan,West Indies,Dubai,99,0,37,7,7.1566265060241,0,1,0,0,37,0,160
South Africa,Australia,Johannesburg,119,0,39,7,8.81481481481482,0,1,0,0,40,0,204
England,Pakistan,Dubai,40,1,84,7,6.66666666666667,0,1,0,0,34,0,160
Australia,South Africa,Melbourne,97,0,64,9,10.3928571428571,1,0,0,0,47,0,182
India,Pakistan,Durban,91,0,34,5,6.34883720930233,0,0,1,0,35,0,141
New Zealand,Pakistan,Napier,137,0,16,5,7.90384615384615,0,0,1,0,42,1,173
Sri Lanka,South Africa,Chittagong,161,0,2,3,8.1864406779661,0,0,0,1,44,1,165
New Zealand,Australia,Auckland,208,0,22,8,12.734693877551,0,1,0,0,63,1,243
Sri Lanka,Pakistan,Dubai,65,0,55,7,6,0,1,0,0,24,0,145
West Indies,India,Lauderhill,113,0,24,3,7.0625,0,0,0,1,24,1,143
Sri Lanka,South Africa,Chittagong,111,0,32,6,7.56818181818182,0,0,1,0,28,0,165
New Zealand,Pakistan,Dubai,55,0,68,7,6.34615384615385,0,1,0,0,35,0,135
Pakistan,Sri Lanka,Colombo,144,0,16,5,8.30769230769231,0,0,1,0,43,1,172
Australia,Sri Lanka,Adelaide,167,0,18,8,9.82352941176471,0,1,0,0,60,1,187
Australia,India,Sydney,45,1,92,9,9.64285714285714,1,0,0,0,45,0,197
Afghanistan,West Indies,Nagpur,122,0,1,3,6.15126050420168,0,0,0,1,46,1,123
Pakistan,Australia,St Lucia,162,0,14,6,9.16981132075472,0,0,1,0,59,1,191
England,South Africa,Durban,176,0,13,5,9.86915887850467,0,0,1,0,68,1,204
Bangladesh,South Africa,Cape Town,78,0,72,5,9.75,0,0,1,0,39,0,144
South Africa,West Indies,London,102,0,52,9,9,1,0,0,0,47,0,183
New Zealand,England,Wellington,170,0,2,3,8.64406779661017,0,0,0,1,43,1,176
India,Sri Lanka,Pune,38,1,88,7,7.125,0,1,0,0,37,0,101
Pakistan,Australia,Dubai,93,0,44,10,7.3421052631579,1,0,0,0,27,0,150
New Zealand,South Africa,Centurion,166,0,9,3,8.97297297297297,0,0,0,1,51,1,177
India,South Africa,Colombo,70,0,56,6,6.5625,0,0,1,0,34,0,152
Sri Lanka,New Zealand,Nottingham,129,0,22,7,7.89795918367347,0,1,0,0,42,1,158
West Indies,Australia,St Lucia,81,0,39,3,6,0,0,0,1,25,0,105
Pakistan,South Africa,Dubai,82,0,12,3,4.55555555555556,0,0,0,1,22,1,98
South Africa,Australia,Centurion,44,0,79,8,6.4390243902439,0,1,0,0,30,0,156
New Zealand,West Indies,Mount Maunganui,157,0,41,9,11.9240506329114,1,0,0,0,64,0,243
West Indies,England,Pallekele,169,0,4,5,8.74137931034483,0,0,1,0,50,1,179
South Africa,England,Cape Town,56,1,85,9,9.6,1,0,0,0,50,0,179
New Zealand,Sri Lanka,Lauderhill,107,0,11,4,5.88990825688073,0,0,0,1,33,1,120
Australia,New Zealand,Perth,156,0,16,6,9,0,0,1,0,58,1,186
India,West Indies,Mumbai,82,0,77,10,11.4418604651163,1,0,0,0,62,0,240
England,India,Pune,142,0,4,4,7.3448275862069,0,0,0,1,31,1,157
Pakistan,India,Mirpur,21,1,90,9,4.2,1,0,0,0,21,0,130
England,Australia,Southampton,33,1,85,9,5.65714285714286,1,0,0,0,31,0,145
England,New Zealand,Napier,52,0,80,9,7.8,1,0,0,0,42,0,241
New Zealand,Pakistan,Chandigarh,146,0,18,6,8.58823529411765,0,0,1,0,46,1,180
New Zealand,England,St Lucia,63,0,60,8,6.3,0,1,0,0,30,0,149
Sri Lanka,Bangladesh,Colombo,42,0,70,5,5.04,0,0,1,0,20,0,159
England,Pakistan,London,158,0,16,5,9.11538461538462,0,0,1,0,37,1,185
South Africa,Australia,Brisbane,37,0,82,9,5.8421052631579,1,0,0,0,32,0,157
New Zealand,England,Delhi,74,0,69,9,8.70588235294118,1,0,0,0,45,0,153
West Indies,Pakistan,Trinidad,79,0,35,5,5.57647058823529,0,0,1,0,26,0,124
South Africa,Bangladesh,Mirpur,55,0,70,8,6.6,0,1,0,0,30,0,148
West Indies,India,Lauderhill,34,0,77,5,4.74418604651163,0,0,1,0,22,0,95
South Africa,Bangladesh,Mirpur,101,0,30,6,6.73333333333333,0,0,1,0,31,0,148
South Africa,Pakistan,Johannesburg,116,0,22,6,7.10204081632653,0,0,1,0,28,1,153
England,Pakistan,Manchester,130,0,5,4,6.78260869565217,0,0,0,1,28,1,135
West Indies,India,Lauderhill,133,0,16,2,7.67307692307692,0,0,0,1,36,1,143
India,Pakistan,Durban,70,0,53,6,6.26865671641791,0,0,1,0,35,0,141
Pakistan,India,Mirpur,51,0,55,4,4.70769230769231,0,0,0,1,19,0,83
Sri Lanka,England,Southampton,40,1,87,9,7.27272727272727,1,0,0,0,39,0,140
India,Pakistan,Bangalore,37,1,84,10,6.16666666666667,1,0,0,0,31,0,133
Australia,England,Hobart,188,0,10,7,10.2545454545455,0,1,0,0,41,1,213
India,Sri Lanka,Pallekele,152,0,4,7,7.86206896551724,0,1,0,0,40,1,155
Pakistan,Sri Lanka,Hambantota,34,0,69,7,4,0,1,0,0,23,0,122
West Indies,India,Mirpur,38,0,74,10,4.95652173913044,1,0,0,0,33,0,129
Pakistan,Australia,St Lucia,93,0,52,8,8.20588235294118,0,1,0,0,46,0,191
West Indies,India,Barbados,141,0,18,8,8.29411764705882,0,1,0,0,61,1,169
Pakistan,Australia,Dubai,61,0,70,9,7.32,1,0,0,0,32,0,147
Pakistan,Bangladesh,Mirpur,42,1,92,9,9,1,0,0,0,42,0,135
Australia,Sri Lanka,Barbados,105,0,25,5,6.63157894736842,0,0,1,0,38,1,168
Pakistan,Sri Lanka,Johannesburg,136,0,28,6,8.8695652173913,0,0,1,0,61,1,189
England,Pakistan,Manchester,64,0,70,9,7.68,1,0,0,0,40,0,135
Australia,India,Sydney,91,0,40,6,6.825,0,0,1,0,23,0,164
England,New Zealand,Auckland,82,0,65,7,8.94545454545455,0,1,0,0,43,0,184
Pakistan,England,Barbados,97,0,39,6,7.18518518518519,0,0,1,0,35,0,147
New Zealand,Australia,Christchurch,62,0,78,8,8.85714285714286,0,1,0,0,38,0,214
England,Pakistan,Dubai,79,0,50,7,6.77142857142857,0,1,0,0,37,0,160
Sri Lanka,Australia,Cape Town,91,0,13,2,5.10280373831776,0,0,0,1,26,1,101
South Africa,England,Mumbai,87,0,83,10,14.1081081081081,1,0,0,0,79,0,229
Pakistan,New Zealand,Auckland,122,0,27,6,7.87096774193548,0,0,1,0,44,1,171
Australia,West Indies,Mirpur,152,0,13,4,8.52336448598131,0,0,0,1,42,1,178
Pakistan,Bangladesh,St Lucia,46,1,85,10,7.88571428571429,1,0,0,0,37,0,172
New Zealand,West Indies,Auckland,143,0,8,4,7.66071428571429,0,0,0,1,41,1,155
Sri Lanka,Pakistan,Colombo,100,0,30,8,6.66666666666667,0,1,0,0,37,0,139
West Indies,Pakistan,Barbados,32,1,88,9,6,1,0,0,0,31,0,111
India,England,Mumbai,174,0,2,3,8.84745762711864,0,0,0,1,64,1,177
West Indies,New Zealand,Auckland,53,0,61,6,5.38983050847458,0,0,1,0,32,0,126
Bangladesh,South Africa,Cape Town,120,0,24,3,7.5,0,0,0,1,18,1,144
West Indies,Pakistan,Mirpur,90,0,25,5,5.68421052631579,0,0,1,0,21,1,166
India,England,Bangalore,141,0,24,7,8.8125,0,1,0,0,57,1,202
West Indies,England,London,60,0,37,7,4.33734939759036,0,1,0,0,18,0,113
Pakistan,England,Manchester,81,0,63,9,8.52631578947369,1,0,0,0,45,0,195
Sri Lanka,West Indies,Barbados,88,0,59,9,8.65573770491803,1,0,0,0,50,0,195
West Indies,England,London,71,0,26,6,4.53191489361702,0,0,1,0,26,1,113
Australia,Sri Lanka,Nottingham,47,1,89,9,9.09677419354839,1,0,0,0,46,0,159
South Africa,Sri Lanka,Cape Town,71,0,66,9,7.88888888888889,1,0,0,0,36,0,169
West Indies,India,Barbados,164,0,4,6,8.48275862068966,0,0,1,0,53,1,169
West Indies,Australia,Colombo,162,0,16,6,9.34615384615385,0,0,1,0,58,1,191
India,West Indies,Lauderhill,159,0,3,5,8.15384615384615,0,0,1,0,36,1,167
Pakistan,New Zealand,Dubai,68,0,68,8,7.84615384615385,0,1,0,0,39,0,153
Pakistan,Bangladesh,St Lucia,159,0,9,7,8.5945945945946,0,1,0,0,41,1,172
New Zealand,West Indies,Mount Maunganui,212,0,11,7,11.6697247706422,0,1,0,0,55,1,243
South Africa,West Indies,London,132,0,34,8,9.2093023255814,0,1,0,0,50,0,183
Pakistan,South Africa,Cape Town,166,0,5,7,8.66086956521739,0,1,0,0,41,1,176
Pakistan,New Zealand,Abu Dhabi,79,0,46,7,6.40540540540541,0,1,0,0,39,0,148
Sri Lanka,Australia,Colombo,52,0,76,7,7.09090909090909,0,1,0,0,38,0,128
Bangladesh,New Zealand,Napier,61,0,65,6,6.65454545454545,0,0,1,0,37,0,141
New Zealand,West Indies,Auckland,54,0,78,8,7.71428571428571,0,1,0,0,42,0,155
Australia,England,Sydney,147,0,17,4,8.56310679611651,0,0,0,1,37,1,195
South Africa,West Indies,Durban,121,0,36,9,8.64285714285714,1,0,0,0,29,0,195
South Africa,West Indies,Durban,109,0,47,10,8.95890410958904,1,0,0,0,31,0,195
Sri Lanka,New Zealand,Chittagong,92,0,27,4,5.93548387096774,0,0,0,1,30,1,119
England,West Indies,Barbados,98,0,42,7,7.53846153846154,0,1,0,0,55,0,152
Afghanistan,India,St Lucia,101,0,10,4,5.50909090909091,0,0,0,1,26,1,115
West Indies,India,Lauderhill,92,0,48,5,7.66666666666667,0,0,1,0,35,0,143
India,West Indies,London,86,0,33,6,5.93103448275862,0,0,1,0,32,0,153
Australia,Sri Lanka,Adelaide,79,0,73,10,10.0851063829787,1,0,0,0,57,0,233
New Zealand,South Africa,Durban,54,0,58,4,5.2258064516129,0,0,0,1,31,0,86
New Zealand,Sri Lanka,Colombo,55,0,77,10,7.67441860465116,1,0,0,0,42,0,170
England,Australia,Southampton,37,1,92,9,7.92857142857143,1,0,0,0,37,0,179
Sri Lanka,West Indies,Nottingham,153,0,28,8,9.97826086956522,0,1,0,0,45,1,192
England,Pakistan,London,64,0,83,8,10.3783783783784,0,1,0,0,55,0,185
Bangladesh,India,Mirpur,128,0,9,5,6.91891891891892,0,0,1,0,44,1,138
South Africa,England,Cape Town,58,0,64,7,6.21428571428571,0,1,0,0,21,0,154
